name,type,hasCxnPType,hasQueryCode,label,comment,hasDescription,hasName,isInCxnPGroup
T_noun_poss_S_noun,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],['SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?target doc:poss ?source .\n}'],['T-noun poss S-noun'],"[""poverty's undertow""]","[""'s Posessives""]",['T-noun poss S-noun'],['T-noun_poss_S-noun']
T_noun_to_be_S_noun_adj,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['""^(N|A|J)"") .\n    FILTER regex(?tpos', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    ?target doc:hasPOS ?tpos .\n    FILTER regex(?spos', '""^N"") .\n    ?cop rdf:type doc:Word .\n    ?cop doc:inSentence ?sent .\n    ?cop doc:xmod ?target .\n    ?source doc:xcomp+ ?cop .\n}']",['T-noun to be S-noun-adj'],['democracy to be stillborn'],['copula modification'],['T-noun to be S-noun-adj'],['T-noun_to_be_S-noun-adj']
T_adj_mod_S_noun,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    ?target doc:hasPOS ?tpos .\n    FILTER regex(?tpos', '""^(JJ|VBG)"") .\n    FILTER regex(?spos', '""^N"") .\n    ?target doc:ncmod ?source .    \n}']",['T-adj mod S-noun'],['bureaucratic machine'],['adjective noun modification'],['T-adj mod S-noun'],['T-adj_mod_S-noun']
S_verb_T_dobj,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['sparql'],"['""^(be|make|become|have|get|continue|use|go|finish|fail|help|manage|proceed|try|want|endeavor|attempt|start|begin)$""', '""^V"") .\n    FILTER (!regex(?slemma', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source (doc:hasPOS|doc:hasRPOS) ?spos .\n    ?target doc:dobj ?source .\n    FILTER regex(?spos', '""i"")) .\n}']",['S-verb T-dobj'],['... escape poverty'],['Verb-Object construction'],['S-verb T-dobj'],['S-verb_T-dobj']
S_verb_Prep_T_noun_conj,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['sparql'],"['""^V"") .\n    ?prep rdf:type doc:Word .\n    ?prep doc:inSentence ?sent .\n    ?prep doc:hasPOS ?prepPOS .\n    ?conj rdf:type doc:Word .\n    ?conj doc:inSentence ?sent .\n    ?conj doc:hasPOS ?conjPOS .\n    FILTER regex(?conjPOS', '""^C"") .\n    ?target doc:conj ?conj .\n    ?conj doc:dobj ?prep .\n    FILTER regex(?prepPOS', '""^I"") .\n    ?prep doc:iobj ?source .\n}', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    FILTER regex(?spos']",['S-verb Prep T-noun-conj'],['pull up out of poverty and unemployment'],['Verb Prep Noun'],['S-verb Prep T-noun-conj'],['S-verb Prep T-noun']
T_noun_cop_S_noun_adj,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['sparql'],"['SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    ?target doc:hasPOS ?tpos .\n    FILTER regex(?spos', '""^(N|A)"") .\n    ?cop rdf:type doc:Word .\n    ?cop doc:inSentence ?sent .\n    ?target doc:ncsubj ?cop .\n    ?source doc:xcomp+ ?cop .\n}', '""^(N|A|J)"") .\n    FILTER regex(?tpos']",['T-noun cop S-noun-adj'],['poverty is a disease / poverty is burdensome / poverty seems to be a disease\n-- Should split this into different cxns for S-Adj vs. S-Noun'],['copula noun'],['T-noun cop S-noun-adj'],['T-noun_cop_S-noun-adj']
T_noun_cop_S_noun_POSseq,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['regexp'],['\\b[^=]+=(?P<tlemma>[^=]+)=NN[^=]*=(?P<tidx>\\d+) is=be=VBZ=\\d+ a=a=DT=\\d\\+ [^=]+=(?P<slemma>[^=]+)=NN[^=]*=(?P<sidx>\\d+)\\b'],['T-noun cop S-noun.POSseq'],,['backup for N is a N'],['T-noun cop S-noun.POSseq'],['T-noun_cop_S-noun']
S_noun_prep_T_noun,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['""^(and|or)$""', '""^(percent|fraction|amount|quantity)$""', '""^N"") .\n    FILTER regex(?tpos', '""^(TO|IN|PREP)"")) .\n    {\n        ?target doc:dobj ?prepword .\n    } UNION {\n        ?andword rdf:type doc:Word .\n        ?andword doc:inSentence ?sent .\n        ?andword doc:hasLemma ?andLemma .\n        FILTER (regex(?andLemma', '""^N"") .\n    ?prepword rdf:type doc:Word .\n    ?prepword doc:inSentence ?sent .\n    ?prepword doc:hasPOS ?prepPOS .\n    ?prepword (doc:iobj|doc:ncmod) ?source .\n    FILTER (regex(?prepPOS', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?target doc:hasPOS ?tpos .\n    ?source (doc:hasPOS|doc:hasRPOS) ?spos .\n    FILTER regex(?spos', '""i"")) .\n        ?andword doc:dobj ?prepword .\n        ?target doc:conj ?andword .\n    }\n    FILTER (!regex(?slemma', '""i"")) .\n}']",['S-noun prep T-noun'],['path to poverty / the leap into politics'],['N prep N constructions'],['S-noun prep T-noun'],['S-noun_prep_T-noun']
T_subj_S_verb_conj,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['""^V"") .\n\tFILTER (!regex(?slemma', '""i"")) .\n}', '""^(and|or)$""', '""i"")) .\n\t?target doc:ncsubj ?andword .\n\t?source doc:conj ?andword .\n\tFILTER regex(?spos', '""^(be|make|become|have|get|continue|use|go|finish|fail|help|manage|proceed|try|want|endeavor|attempt|start|stop|begin)$""', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n\t?sent rdf:type doc:Sentence .\n\t?sent doc:hasIdx ?sentidx .\n\t?target rdf:type doc:Word .\n\t?target doc:hasIdx ?tidx .\n\t?target doc:hasLemma ?tlemma .\n\t?source rdf:type doc:Word .\n\t?source doc:hasIdx ?sidx .\n\t?source doc:hasLemma ?slemma .\n\t?target doc:inSentence ?sent .\n\t?source doc:inSentence ?sent .\n\t?source (doc:hasPOS|doc:hasRPOS) ?spos .\n\t?andword rdf:type doc:Word .\n\t?andword doc:inSentence ?sent .\n\t?andword doc:hasLemma ?andLemma .\n\tFILTER (regex(?andLemma']",['T-subj S-verb-conj'],['poverty infects ...'],['Subject-Verb construction'],['T-subj S-verb-conj'],['T-subj_S-verb']
S_adj_mod_T_noun,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['sparql'],"['""^N"") .\n    {\n      ?source doc:ncmod ?target .\n    } UNION {\n      ?conj rdf:type doc:Word .\n      ?conj doc:hasPOS ?conjpos .\n      FILTER regex(?conjpos', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    ?target doc:hasPOS ?tpos .\n    FILTER regex(?spos', '""^C"") .\n      ?target doc:conj ?conj .\n      ?source doc:ncmod ?conj . \n    }\n}', '""^(JJ|VBG)"") .\n    FILTER regex(?tpos']",['S-adj mod T-noun'],['forcible taxation'],['adjective noun modification'],['S-adj mod T-noun'],['S-adj_mod_T-noun']
S_verb_T_dobj_conj,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['""^V"") .\n    FILTER (!regex(?slemma', '""^(and|or)$""', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source (doc:hasPOS|doc:hasRPOS) ?spos .\n    ?andword rdf:type doc:Word .\n    ?andword doc:inSentence ?sent .\n    ?andword doc:hasLemma ?andLemma .\n    FILTER (regex(?andLemma', '""^(be|make|become|have|get|continue|use|go|finish|fail|help|manage|proceed|try|want|endeavor|attempt|start|begin)$""', '""i"")) .\n    ?andword doc:dobj ?source .\n    ?target doc:conj ?andword .\n    FILTER regex(?spos', '""i"")) .\n}']",['S-verb T-dobj-conj'],['... escape poverty'],['Verb-Object construction'],['S-verb T-dobj-conj'],['S-verb_T-dobj']
T_noun_poss_S_noun_POSseq,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['regexp'],"[""\\b[^=]+=(?P<tlemma>[^=]+)=[^=]+=(?P<tidx>\\d+) 's='s=POS=\\d+ [^=]+=(?P<slemma>[^=]+)=[^=]+=(?P<sidx>\\d+)\\b""]",['T-noun poss S-noun.POSseq'],"[""poverty's morass""]","[""'s Posessives: reg exp backup""]",['T-noun poss S-noun.POSseq'],['T-noun_poss_S-noun']
S_noun_of_T_noun,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['""i"")) .\n        ?andword doc:dobj ?ofword .\n        ?target doc:conj ?andword .\n    }\n    FILTER (!regex(?slemma', '""i"")) .\n    {\n        ?target doc:dobj ?ofword .\n    } UNION {\n        ?andword rdf:type doc:Word .\n        ?andword doc:inSentence ?sent .\n        ?andword doc:hasLemma ?andLemma .\n        FILTER (regex(?andLemma', '""^of$""', '""^out$""', '""i"")) .\n    OPTIONAL {\n        ?outpart rdf:type doc:Word .\n        ?outpart doc:inSentence ?sent .\n        ?outpart doc:hasLemma ?outLemma .\n        ?outpart doc:ncmod ?ofword .\n        FILTER (regex(?outLemma', '""i"")) .\n    }\n    FILTER (!BOUND(?outpart)) .\n}', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?target doc:hasPOS ?tpos .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    ?source (doc:hasPOS|doc:hasRPOS) ?spos .\n    FILTER regex(?spos', '""^(percent|fraction|amount|quantity|out)$""', '""^(and|or)$""', '""^N"") .\n    FILTER regex(?tpos', '""^N"") .\n    ?ofword rdf:type doc:Word .\n    ?ofword doc:inSentence ?sent .\n    ?ofword doc:hasLemma ?ofLemma .\n    ?ofword doc:iobj ?source .\n    FILTER (regex(?ofLemma']",['S-noun of T-noun'],['trap of poverty. Does this include conjunctions?'],['N of N constructions'],['S-noun of T-noun'],['S-noun_of_T-noun']
T_subj_conj_S_verb,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['sparql'],"['""^(and|or)$""', '""^(be|make|become|have|get|continue|use|go|finish|fail|help|manage|proceed|try|want|endeavor|attempt|start|stop|begin)$""', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n\t?sent rdf:type doc:Sentence .\n\t?sent doc:hasIdx ?sentidx .\n\t?target rdf:type doc:Word .\n\t?target doc:hasIdx ?tidx .\n\t?target doc:hasLemma ?tlemma .\n\t?source rdf:type doc:Word .\n\t?source doc:hasIdx ?sidx .\n\t?source doc:hasLemma ?slemma .\n\t?target doc:inSentence ?sent .\n\t?source doc:inSentence ?sent .\n\t?source (doc:hasPOS|doc:hasRPOS) ?spos .\n\t?andword rdf:type doc:Word .\n\t?andword doc:inSentence ?sent .\n\t?andword doc:hasLemma ?andLemma .\n\tFILTER (regex(?andLemma', '""^V"") .\n\tFILTER (!regex(?slemma', '""i"")) .\n\t?andword doc:ncsubj ?source .\n\t?target doc:conj ?andword .\n\tFILTER regex(?spos', '""i"")) .\n}']",['T-subj-conj S-verb'],['poverty infects ...'],['Subject-Verb construction'],['T-subj-conj S-verb'],['T-subj_S-verb']
T_noun_mod_S_noun,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['""^N"") .\n    ?target doc:ncmod ?source .    \n}', '""^N"") .\n    FILTER regex(?tpos', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    ?target doc:hasPOS ?tpos .\n    FILTER regex(?spos']",['T-noun mod S-noun'],['poverty trap'],['Noun noun modification compounds'],['T-noun mod S-noun'],['T-noun_mod_S-noun']
T_subj_S_verb,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['""^(be|make|become|have|get|continue|use|go|finish|fail|help|manage|proceed|try|want|endeavor|attempt|start|stop|begin)$""', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n\t?sent rdf:type doc:Sentence .\n\t?sent doc:hasIdx ?sentidx .\n\t?target rdf:type doc:Word .\n\t?target doc:hasIdx ?tidx .\n\t?target doc:hasLemma ?tlemma .\n\t?source rdf:type doc:Word .\n\t?source doc:hasIdx ?sidx .\n\t?source doc:hasLemma ?slemma .\n\t?target doc:inSentence ?sent .\n\t?source doc:inSentence ?sent .\n\t?source (doc:hasPOS|doc:hasRPOS) ?spos .\n\t?target doc:ncsubj ?source .\n\tFILTER regex(?spos', '""^V"") .\n\tFILTER (!regex(?slemma', '""i"")) .\n}']",['T-subj S-verb'],,['The first one in the wiki!'],['T-subj S-verb'],['T-subj S-verb']
T_subj_aspV_S_verb,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['sparql'],"['SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n\t?sent rdf:type doc:Sentence .\n\t?sent doc:hasIdx ?sentidx .\n\t?target rdf:type doc:Word .\n\t?target doc:hasIdx ?tidx .\n\t?target doc:hasLemma ?tlemma .\n\t?source rdf:type doc:Word .\n\t?source doc:hasIdx ?sidx .\n\t?source doc:hasLemma ?slemma .\n\t?target doc:inSentence ?sent .\n\t?source doc:inSentence ?sent .\n\t?aspv rdf:type doc:Word .\n\t?aspv doc:inSentence ?sent .\n\t?target doc:ncsubj ?aspv .\n\t?source doc:xcomp+ ?aspv .\n\t?source (doc:hasPOS|doc:hasRPOS) ?spos .\n\t?aspv doc:hasLemma ?avlemma .\n\tFILTER regex(?spos', '""i"") .\n}', '""^V"") .\n\tFILTER regex(?avlemma', '""^(be|continue|become|use|go|finish|fail|help|manage|proceed|try|want|endeavor|attempt|start|stop|begin)$""']",['T-subj aspV S-verb'],['poverty continues to infect .'],['Subject-AspectV-Verb construction'],['T-subj aspV S-verb'],['T-subj_S-verb']
S_verb_Prep_T_noun,"['NamedIndividual', 'CxnPattern', 'CxnPattern']",['sparql'],"['""^I"") .\n    {\n      ?prep doc:iobj ?source .\n    } UNION {\n      ?particle rdf:type doc:Word .\n      ?particle doc:inSentence ?sent .\n      ?particle doc:hasPOS ?partPOS .\n      FILTER regex(?partPOS', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    FILTER regex(?spos', '""^RP"") .\n      ?particle doc:ncmod ?source .\n      ?prep doc:iobj ?particle .\n    }      \n}', '""^V"") .\n    ?prep rdf:type doc:Word .\n    ?prep doc:inSentence ?sent .\n    ?prep doc:hasPOS ?prepPOS .\n    ?target doc:dobj ?prep .\n    FILTER regex(?prepPOS']",['S-verb Prep T-noun'],['slide into poverty OR pull up out of poverty\nwill also match passives: crushed by poverty'],['Verb Prep Noun'],['S-verb Prep T-noun'],['S-verb_Prep_T-noun']
T_noun_cop_Prep_S_noun,"['CxnPattern', 'NamedIndividual', 'CxnPattern']",['sparql'],"['""^N"") .\n    ?cop rdf:type doc:Word .\n    ?cop doc:inSentence ?sent .\n    ?target doc:ncsubj ?cop .\n    ?prep rdf:type doc:Word .\n    ?prep doc:inSentence ?sent .\n    ?prep doc:pcomp ?cop .\n    ?source doc:dobj ?prep .\n}', '""^N"") .\n    FILTER regex(?tpos', 'SELECT ?tlemma ?slemma ?sentidx ?tidx ?sidx\nWHERE {\n    ?sent rdf:type doc:Sentence .\n    ?sent doc:hasIdx ?sentidx .\n    ?target rdf:type doc:Word .\n    ?target doc:hasIdx ?tidx .\n    ?target doc:hasLemma ?tlemma .\n    ?source rdf:type doc:Word .\n    ?source doc:hasIdx ?sidx .\n    ?source doc:hasLemma ?slemma .\n    ?target doc:inSentence ?sent .\n    ?source doc:inSentence ?sent .\n    ?source doc:hasPOS ?spos .\n    ?target doc:hasPOS ?tpos .\n    FILTER regex(?spos']",['T-noun cop Prep S-noun'],['the country was on a rollercoaster'],['copula noun in prepositional phrase'],['T-noun cop Prep S-noun'],['T-noun_cop_S-noun-adj']
