name,label,hasInferentialContent,isInferenceOfFrame,hasInferenceType
Inference_56,['The emotion or change in emotion_level...'],['The emotion or change in emotion_level occurs because of a cause.'],,
Inference_459,['Analyzing ideas'],['Analyzing ideas'],['Frame_Idea'],
Inference_182,['The army engages in fighting against...'],['The army engages in fighting against enemy_combatants on the battlefield using weapons in the context of a war_strategy devised by generals seeking to minimize enemy_conquest and achieve victory as quickly as possible.'],,
Inference_579,['Difficulties in progressing through...'],['Difficulties in progressing through life'],['Frame_Life'],
Inference_123,['Being removed from the ground and...'],"[""Being removed from the ground and having its roots torn and separated poses a threat to the plant's survival.""]",,
Inference_380,['current trajector location is profiled_region...'],['current trajector location is profiled_region defined with respect to landmark'],['Frame_Being_at_a_location'],
Inference_220,['manner of action'],['manner of action'],['Frame_Action'],
Inference_666,['slavery is involuntary obligation...'],['slavery is involuntary obligation to work for master'],['Frame_Servitude'],
Inference_436,['Being not upright or being hor...'],['Being not upright or being horizontal'],['Frame_Verticality'],
Inference_240,['A fire is dangerous to nearb_o...'],['A fire is dangerous to nearb_objects'],['Frame_Fire'],
Inference_514,['there are different paths one can...'],['there are different paths one can take to reach a different destination'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_159,['experience of surprise has sudden...'],['experience of surprise has sudden short onset'],,['aspectual']
Inference_112,['Grasping is a precondition for...'],['Grasping is a precondition for possession.'],,
Inference_216,['Caused inability to act'],['Caused inability to act'],['Frame_Action'],
Inference_274,['willingness to change possessi...'],['willingness to change possession'],['Frame_Transfer_scenario'],
Inference_452,['Flavorless food'],['Flavorless food'],['Frame_Food'],
Inference_224,['rate of action'],['rate of action'],['Frame_Action'],
Inference_280,"['at initial stage, possessor possesses...']","['possessor possesses object', 'at initial stage']",['Frame_Lose_possession'],
Inference_641,['eliminating social problem restores...'],['eliminating social problem restores social functioning'],['Frame_Social_problems'],
Inference_315,['Words and linguistic expressio...'],['Words and linguistic expressions'],['Frame_Communication'],
Inference_189,"[""the quality of the Seer's vision...""]","[""the quality of the Seer's vision affects how well he can see an object""]",['Frame_Seeing'],
Inference_271,['state change would not have occurred...'],['state change would not have occurred wihtout a cause'],['Frame_Caused_change_of_state'],
Inference_148,['The presence/absence of certain...'],"[""The presence/absence of certain conditions will affect how a given motion event 'unfolds'. These conditions include: necessary resources (mover's energy/inertia); restraints on mover; obstacles on path; nature of terrain; burdens that mover must carry (additional mass that mover must move)""]",,['x-schema conditions']
Inference_231,['sequence of actions'],['sequence of actions'],['Frame_Self_propelled_motion'],
Inference_568,['nullSourceInference'],['nullSourceInference'],['Frame_Verticality'],
Inference_359,['Having intense emotion'],['Having intense emotion'],['Frame_Emotional_intensity'],
Inference_341,['Being controlled by someone'],['Being controlled by someone'],['Frame_Control'],
Inference_149,['The actor acts in order to move....'],['The actor acts in order to move.  Action continues until actor reaches goal.'],,
Inference_19,['topological structure is such that...'],['topological structure is such that exterior and interior are separated by boundary.'],,
Inference_262,['preventing downward motion'],['preventing downward motion'],['Frame_Downward_motion'],
Inference_663,['(obligation of) paying taxes negatively...'],['(obligation of) paying taxes negatively affects the taxpayer'],['Frame_Taxation'],
Inference_136,['A owes B (is in debt to B) if B...'],['A owes B (is in debt to B) if B does something good for A.'],,['normative-Western society']
Inference_156,['Sheep are not capable of flourishing...'],['Sheep are not capable of flourishing on their own (without shepherd).'],,
Inference_330,['not having a possession'],['not having a possession'],['Frame_Possession'],
Inference_242,['high fire_intensity can render...'],['high fire_intensity can render burning_object_condition nonfunctional'],['Frame_Fire'],
Inference_517,['a well-functioning/non-functioning...'],['a well-functioning/non-functioning mind'],['Frame_Cognizing'],
Inference_461,['Structure of an idea'],['Structure of an idea'],['Frame_Idea'],
Inference_335,['attaining control'],['attaining control'],['Frame_Control'],
Inference_70,['The amount of force applied to...'],['The amount of force applied to the acted_upon is closely correlated with the amount of effort the actor exerts.'],,
Inference_616,['Obstacles to motion along a pa...'],['Obstacles to motion along a path'],['Frame_Journey'],
Inference_505,['decreases in quantity'],['decreases in quantity'],['Frame_Quantity'],
Inference_385,['more force'],['more force'],['Frame_Force'],
Inference_134,"['If you are pursuing something,...']","['you want it (for some purpose)', 'If you are pursuing something', 'but do not currently have possession or control of it.']",,
Inference_476,['Impediments to seeing (visual ...'],['Impediments to seeing (visual obstructions)'],['Frame_Seeing'],
Inference_387,['freedom to act'],['freedom to act'],['Frame_Freedom_of_action'],
Inference_235,['x-schema stages are ordered.  Intitial...'],['x-schema stages are ordered.  Intitial > start > ongoing > finish > final'],,['x-schema stage']
Inference_433,['Being sad or unhappy'],['Being sad or unhappy'],['Frame_Happiness'],
Inference_26,['Degree of negative effect is related...'],['Degree of negative effect is related to the weight of the burden.'],,
Inference_597,['greater quantities'],['greater quantities'],['Frame_Quantity'],
Inference_431,['Being happy'],['Being happy'],['Frame_Happiness'],
Inference_486,['Seeing from a relatively long ...'],['Seeing from a relatively long distance'],['Frame_Seeing'],
Inference_188,"[""being unable to evaluate an evaluee's...""]","[""being unable to evaluate an evaluee's action""]",['Frame_Evaluation'],
Inference_430,['Being physically upright'],['Being physically upright'],['Frame_Verticality'],
Inference_621,['Changing visual attention'],['Changing visual attention'],['Frame_Seeing'],
Inference_557,['Nation failing to function eff...'],['Nation failing to function effectively'],['Frame_Nation'],
Inference_278,"['at final stage, possessor possesses...']","['possessor possesses object', 'at final stage']",['Frame_Gain_possession'],
Inference_652,['current location on path'],['current location on path'],['Frame_Bounded_region'],
Inference_34,['direction of change is towards...'],['direction of change is towards cleanliness'],,
Inference_90,['If container_pressure exceeds the...'],"['the container will could blow its container_top and vent fluid.  This could be dangerous to people around the container.', 'If container_pressure exceeds the container_pressure_limit of the container']",,['typical experience']
Inference_513,['rate of motion'],['rate of motion'],['Frame_Action'],
Inference_65,['Keeping track of what is owed is...'],['Keeping track of what is owed is keeping the books.'],,
Inference_669,"['intially, controlling entity is...']","['intially', 'controlling entity is in  control']",['Frame_Control'],
Inference_421,['the government is responsible for...'],['the government is responsible for taking care of the governed'],['Frame_Government'],
Inference_80,['A bridge across the gap provides...'],['A bridge across the gap provides a means to cross the gap.'],,
Inference_153,['Sequence has a temporal order.'],['Sequence has a temporal order.'],,
Inference_589,['making progress'],['making progress'],['Frame_Purposeful_action'],
Inference_193,['the presence/absence of obstructions...'],['the presence/absence of obstructions affects how well the See-er can see an object'],['Frame_Seeing'],
Inference_614,['Two people traveling together have...'],['Two people traveling together have a common destination a journey'],['Frame_Journey'],
Inference_586,['lack of direction'],['lack of direction'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_168,['Truster could leave self physically...'],['Truster could leave self physically vulnerable to Trusted.'],,
Inference_176,['A multi-person vehicle is a means...'],['A multi-person vehicle is a means for reaching common destinations.'],,
Inference_53,['The effect the disease has on the...'],['The effect the disease has on the patient is related to the nature of the disease.'],,
Inference_199,['Lack of direction'],['Lack of direction'],['Frame_Motion_to_a_location'],
Inference_190,"[""Knower's personal ability to know...""]","[""Knower's personal ability to know things affects how well he can learn about something""]",['Frame_Knowing'],
Inference_10,"['As anger_level increases, its physiological...']","['body_pressure', 'and redness of face_appearance).', 'body_agitation', 'its physiological effects increase (body_heat', 'As anger_level increases']",,
Inference_703,['Decreasing well-being'],['Decreasing well-being'],['Frame_Well_being'],
Inference_336,['loss of a possession'],['loss of a possession'],['Frame_Possession'],
Inference_192,['the ease with which the Knower...'],['the ease with which the Knower can access knowledge affects how easily he can learn something'],['Frame_Knowing'],
Inference_489,['Knowing from a perspective'],['Knowing from a perspective'],['Frame_Knowing'],
Inference_360,['Experiencing average body temp...'],['Experiencing average body temperature'],['Frame_Temperature'],
Inference_670,"['at end, possessor no longer possesses...']","['possessor no longer possesses object', 'at end']",['Frame_Lose_possession'],
Inference_215,['Prevention of motion along a p...'],['Prevention of motion along a path'],['Frame_Motion_along_a_path'],
Inference_294,"[""location can be changed by 'self'/trajector...""]","[""location can be changed by 'self'/trajector (e.g. self-propelled motion)""]",['Frame_Motion_along_a_path'],
Inference_469,['actions can inhibit progress of...'],"['actions can inhibit progress of a bill', 'and may prevent its enactment']",['Frame_Legislation_enactment'],
Inference_129,"[""Distance less than norm is 'close'/'proximal',...""]","[""distance greater than norm is 'far'/'distal'."", ""Distance less than norm is 'close'/'proximal'""]",,
Inference_348,['A wild animal ravages its prey'],['A wild animal ravages its prey'],['Frame_Fierce_animal'],
Inference_692,['Inability to grasp'],['Inability to grasp'],['Frame_Object_manipulation'],
Inference_656,['past locations along a path'],['past locations along a path'],['Frame_Bounded_region'],
Inference_444,['Disgusting foods'],['Disgusting foods'],['Frame_Food'],
Inference_615,['Two people in a relationship have...'],['Two people in a relationship have compatible purposes in a romantic relationship'],['Frame_Romantic_relationship'],
Inference_101,['The motion impediment negatively...'],"[""The motion impediment negatively affects the mover's motion (e.g. slows or stops motion and/or increases energy needed for mover to move).""]",,['causal']
Inference_396,"['""down"" end of vertical scale']","['""down"" end of vertical scale']",['Frame_Verticality'],
Inference_12,"[""The barrier_object's 'force-related'...""]","['porosity and/or fixedness)are such that a given type of mover cannot go through it.', ""The barrier_object's 'force-related' properties (e.g. its strength""]",,['f-d relation']
Inference_74,['the application of force precedes...'],['the application of force precedes or accompanies the movement'],,"['causal', 'temporal']"
Inference_238,['burning_object can be on fire at...'],['burning_object can be on fire at low fire_intensity for a long time and then burst into flame (high fire_intensity)'],['Frame_Fire'],
Inference_284,['moving into a bounded region (...'],['moving into a bounded region (goal)'],['Frame_Motion_along_a_path'],
Inference_548,['Demolishing a building.'],['Demolishing a building.'],['Frame_Building'],
Inference_636,['diagnosing the physical afflic...'],['diagnosing the physical affliction'],['Frame_Physical_affliction'],
Inference_2,"['During process of absorption, the...']","['the absorbent entity becomes progressively wetter and/or full of water', 'During process of absorption']",,['incremental change of property value (wetness/fullness)']
Inference_610,['A boat on the rocks is immobilized...'],['A boat on the rocks is immobilized but can be repaired and sent back on its way'],['Frame_Boat_on_the_rocks'],
Inference_493,['Knowing in detail'],['Knowing in detail'],['Frame_Knowing'],
Inference_673,['Arguing against assumptions of...'],['Arguing against assumptions of theories'],['Frame_Theory'],
Inference_599,['lesser quantities'],['lesser quantities'],['Frame_Quantity'],
Inference_88,['the heat_level is greater than...'],['the heat_level is greater than body temperature'],,
Inference_245,['Increasing or intensifying ang...'],['Increasing or intensifying anger'],['Frame_Anger'],
Inference_399,['Remaining good in the face of ...'],['Remaining good in the face of evil'],['Frame_Goodness'],
Inference_524,['draining or leaking of liquid'],['draining or leaking of liquid'],['Frame_Liquid'],
Inference_151,"['The speed of motion, elapsed time,...']","['elapsed time', 'and distance travelled are inter-related (D = RT). e.g. higher speed enables mover to cover a given distance in less time or a greater distance in a given time.', 'The speed of motion']",,
Inference_5,"[""For dynamic situations, the trajector's...""]","['For dynamic situations', ""the trajector's path is perpendicular to the landmark's main axis. The trajector moves from one side of this axis to the other.""]",,
Inference_500,['nullSourceInference'],['nullSourceInference'],['Frame_Plants'],
Inference_195,['change in ability to see'],['change in ability to see'],['Frame_Seeing'],
Inference_57,['A change in emotion_level is accompanied...'],['A change in emotion_level is accompanied by a corresponding change in bodily_effect and face_appearance.'],,
Inference_688,['decrease in structural_integri...'],['decrease in structural_integrity'],['Frame_Building'],
Inference_650,['scalar'],['scalar'],['Frame_Physical_entity'],
Inference_222,['stage of action'],['stage of action'],['Frame_Action'],
Inference_569,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Positivity_scale'],
Inference_54,['A body becomes sick when diseased_cells...'],['A body becomes sick when diseased_cells reach a sufficient ratio in comparison to healthy_cells.'],,
Inference_425,"['government makes decisions, people...']","['people do what government wants them to', 'government makes decisions']",['Frame_Government'],
Inference_289,['transition to a state'],['transition to a state'],['Frame_Change_of_state'],
Inference_27,['state change would not have occured...'],['state change would not have occured without an (external) cause'],,
Inference_180,"['One end of the scale is ""up"" and...']","['One end of the scale is ""up"" and the other end is ""down"". These are mutually exclusive positions.']",,
Inference_239,['An anger experiencer can have low...'],['An anger experiencer can have low anger_level for a long time and then suddenly become very angry (high anger_level)'],['Frame_Anger'],
Inference_214,['things that increase difficulty...'],['things that increase difficulty of action'],['Frame_Action'],
Inference_68,['Putting out a fire is carried out...'],['Putting out a fire is carried out with a non-flammable liquid. This inference leads to fruitful linguistic metaphors in Zulu but not so much in English (Kovecses 2005:127).'],,
Inference_318,['Being physically upright'],['Being physically upright'],['Frame_Verticality'],
Inference_125,['If the Possessor does not have...'],"['the possessor does not possess that object.', 'If the Possessor does not have control and/or access to an object']",,['negation']
Inference_447,['Interesting ideas'],['Interesting ideas'],['Frame_Idea'],
Inference_314,['containers and vehicles via which...'],['containers and vehicles via which objects are transferred'],['Frame_Transfer_scenario'],
Inference_522,['results of bodily processes'],['results of bodily processes'],['Frame_Bodily_functioning'],
Inference_564,['nullSourceInference'],['nullSourceInference'],['Frame_Overeating'],
Inference_470,['An appetizing food'],['An appetizing food'],['Frame_Food'],
Inference_681,['Being unable to think about different...'],['Being unable to think about different things'],['Frame_Thinking_about'],
Inference_384,['bigger object'],['bigger object'],['Frame_Object'],
Inference_544,['motion towards higher end of verticality...'],['motion towards higher end of verticality scale'],['Frame_Verticality'],
Inference_1,"['Before absorption process, fluid...']","['water moves into absorbent thing.  At finish', 'there is less fluid outside absorbent thing than there was at the beginning of the process.', 'Before absorption process', 'fluid is outside of absorbent thing.  During process']",,"['change of location (and/or change of quantity of substance at different locations).', 'motion']"
Inference_366,['nullSourceInference'],['nullSourceInference'],['Frame_Object'],
Inference_311,"['Intially, addressee is not aware...']","['Intially', 'addressee is not aware of message']",['Frame_Communication'],
Inference_528,['flow of liquid'],['flow of liquid'],['Frame_Liquid'],
Inference_487,['Knowing overall'],['Knowing overall'],['Frame_Knowing'],
Inference_75,['the movement would not have occurred...'],['the movement would not have occurred without the application of a force'],,['causal']
Inference_329,['being able to control a person...'],['being able to control a person or situation'],['Frame_Control'],
Inference_420,['parents are responsible for taking...'],['parents are responsible for taking care of their children'],['Frame_Nuclear_family'],
Inference_511,['effortfulness of action'],['effortfulness of action'],['Frame_Action'],
Inference_89,['If fluid_heat_level exceeds the...'],"['the fluid will turn into a form (steam) that rapidly increases the container_pressure.', 'If fluid_heat_level exceeds the fluid_boiling_point']",,['typical experience']
Inference_595,['another person guide action'],['another person guide action'],['Frame_Purposeful_action'],
Inference_184,['It is difficult for physical_entity...'],['It is difficult for physical_entity to get out of the water_region.'],,
Inference_619,['scalar change inovovles incremental...'],['scalar change inovovles incremental changes in scalar values'],['Frame_Scale'],
Inference_264,['downward motion; motion towards...'],['downward motion; motion towards low(er) location'],['Frame_Being_at_a_Low_Location'],
Inference_323,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Resource_consumption'],
Inference_561,['Leading a nation'],['Leading a nation'],['Frame_Nation'],
Inference_585,['achieving a purpose'],['achieving a purpose'],['Frame_Purposeful_action'],
Inference_179,['The driver controls the speed and...'],"['the vehicle is unlikely to reach its destination.', ""The driver controls the speed and direction of the vehicle's motion in order to get the vehicle to the intended destination.  If the driver doesn't know which direction to steer""]",,
Inference_243,['high anger_level can render mind_condition...'],['high anger_level can render mind_condition nonfunctional'],['Frame_Anger'],
Inference_412,['The driver controls the speed and...'],"[""The driver controls the speed and direction of the vehicle's motion in order to get the vehicle to the intended destination""]",['Frame_Vehicular_motion'],
Inference_258,['change in possession status'],['change in possession status'],['Frame_Possession'],
Inference_643,['extent of social problem'],['extent of social problem'],['Frame_Social_problems'],
Inference_43,['container boundary may prevent...'],['container boundary may prevent physical and/or visual access to contents by agents who are in exterior region (outside of container).'],,
Inference_698,['Downward motion along or low point...'],['Downward motion along or low point on a vertical scale'],['Frame_Verticality'],
Inference_697,['Well-being (feeling well physically...'],['Well-being (feeling well physically and/or psychologically)'],['Frame_Well_being'],
Inference_355,['Taking an important test'],['Taking an important test'],['Frame_Educational_evaluation'],
Inference_20,"['To be functional, a building needs...']","['a building needs to have structural integrity.', 'To be functional']",,
Inference_392,['chnage in vertical position'],['chnage in vertical position'],['Frame_Verticality'],
Inference_617,['Difficulties in a romantic rel...'],['Difficulties in a romantic relationship'],['Frame_Romantic_relationship'],
Inference_345,"['as crime spreads throughout society,...']","['as crime spreads throughout society', 'social functions more poorly']",['Frame_Crime'],
Inference_658,['Higher point(s) along a vertical...'],['Higher point(s) along a vertical scale'],['Frame_Verticality'],
Inference_152,"[""Mover's choice of direction will...""]","[""Mover's choice of direction will affect which locations (including Goal) the mover can reach.""]",,
Inference_251,['The effect of increased anger_level...'],"['The effect of increased anger_level is increased body_heat', 'body_pressure', 'and body_agitation']",['Frame_Anger'],
Inference_96,['The ability of the machine to function...'],"['The ability of the machine to function (operating_x-schema execution) depends on the state of its physical structure (functional_status).  If a machine is broken', ""it will not function.  If it is 'well-oiled' it will perform more efficiently than if it is 'rusty'.""]",,
Inference_638,['treating an illness should improve...'],['treating an illness should improve physical health'],['Frame_Physical_affliction'],
Inference_661,['A decrease in status'],['A decrease in status'],['Frame_Status'],
Inference_525,['loss of money'],['loss of money'],['Frame_Money'],
Inference_331,['not being able to control a person...'],['not being able to control a person or possession'],['Frame_Control'],
Inference_268,['motion upwards; motion away from...'],['motion upwards; motion away from a low location'],['Frame_Being_at_a_Low_Location'],
Inference_277,"['at initial stage, experiencer does...']","['at initial stage', 'experiencer does not experience state']",['Frame_Change_of_state'],
Inference_202,['Aids to achieving a purpose'],['Aids to achieving a purpose'],['Frame_Purposeful_action'],
Inference_415,['a jurisdiction and its populace...'],['a jurisdiction and its populace all share a common fate'],['Frame_Governing_action'],
Inference_263,['preventing becoming impoverish...'],['preventing becoming impoverished'],['Frame_Impoverished'],
Inference_637,"['analyzing the cause, scope, etc...']","['analyzing the cause', 'etc of the social problem', 'scope']",['Frame_Social_problems'],
Inference_154,['If shepherd successfully performs...'],"['If shepherd successfully performs actions', 'sheep will flourish; if not', 'sheep will not flourish (and may become unhealthy or die).']",,
Inference_185,['being able to see something'],['being able to see something'],['Frame_Seeing'],
Inference_676,['being in a bounded region of s...'],['being in a bounded region of space'],['Frame_Motion'],
Inference_382,['lack of possession relation with...'],['lack of possession relation with a particular enity'],['Frame_Possession'],
Inference_467,['Being unimportant or insignifi...'],['Being unimportant or insignificant'],['Frame_Importance'],
Inference_73,['The outcome of the interaction...'],"['including the amount of force transferred', 'the direction of that force', 'The outcome of the interaction will depend on several factors', ""and the (resistant) 'strength' of the force_receiver.""]",,['force-dynamic']
Inference_671,"['at end, controlling entity is no...']","['controlling entity is no longer in control', 'at end']",['Frame_Control'],
Inference_145,['When you see something you perceive...'],['When you see something you perceive that it exists'],,['image schema']
Inference_662,['presence of burden negatively affects...'],"[""presence of burden negatively affects burdened_entity's ability to move or act""]",['Frame_Burden'],
Inference_704,['ability to access contents'],['ability to access contents'],['Frame_Containing'],
Inference_117,['Constructive actions cause an increase...'],['Constructive actions cause an increase in  structural_integrity'],,['cause scalar change']
Inference_657,['past states of nation'],['past states of nation'],['Frame_Nation'],
Inference_468,['impediments can negatively affect...'],"[""impediments can negatively affect mover's motion (e.g. slow or stop motion and/or increase energy needed for mover to move).""]",['Frame_Impediment_to_motion'],
Inference_87,"['When one is healthy, one is not...']","['When one is healthy', 'one is not sick; when one is sick one is not healthy.']",,['If p then not q; if q then not p']
Inference_398,['Resisting destabilizing force'],['Resisting destabilizing force'],['Frame_Verticality'],
Inference_434,['Being upright'],['Being upright'],['Frame_Verticality'],
Inference_61,['In order to be able to evaluate...'],"[""In order to be able to evaluate an evaluee's behavior"", 'the evaluator needs to be able to know what the evaluee is doing.']",,['precondition']
Inference_253,"['initially, controlling_entity is...']","['controlling_entity is not in control', 'initially']",['Frame_Control'],
Inference_108,"[""The mover's mass affects the speed...""]","['more energy is required.', ""The mover's mass affects the speed of motion and/or the amount of energy needed for mover to move.  For instance"", ""if mass is increased (e.g. if 'burdens' are added)""]",,
Inference_413,['The government acts so as to bring...'],"['The government acts so as to bring about desired states of the governed (e.g. populace', 'nation)']",['Frame_Governing_action'],
Inference_456,['Constructing or structuring complex...'],['Constructing or structuring complex objects'],['Frame_Object'],
Inference_598,['smaller sizes'],['smaller sizes'],['Frame_Size'],
Inference_473,['Gaining knowledge'],['Gaining knowledge'],['Frame_Knowing'],
Inference_606,['Vehicle encountering obstacles'],['Vehicle encountering obstacles'],['Frame_Vehicle'],
Inference_368,['change of spatial relation'],['change of spatial relation'],['Frame_Spatial_relation'],
Inference_110,['Parents have (some degree of) control...'],"[""Parents have (some degree of) control over children's actions""]",,
Inference_653,['current state of nation'],['current state of nation'],['Frame_Nation'],
Inference_276,"['at intitial stage, possessor does...']","['at intitial stage', 'possessor does not possess object']",['Frame_Gain_possession'],
Inference_71,"['To apply force, actor must be in...']","['actor must be in contact with acted_upon', 'To apply force']",,
Inference_538,['Being upright'],['Being upright'],['Frame_Upright_posture'],
Inference_207,['the trajector is not at the la...'],['the trajector is not at the landmark'],['Frame_Being_at_a_location'],
Inference_534,['being straight'],['being straight'],['Frame_Straightness'],
Inference_208,['the actor does not perform an ...'],['the actor does not perform an action'],['Frame_Action'],
Inference_492,['Seeing from a short distance'],['Seeing from a short distance'],['Frame_Seeing'],
Inference_66,['The cause_of_fire causes fire to...'],['The cause_of_fire causes fire to the burning_object which will eventually alter the burning_object_condition from its canonical to consumed state.'],,
Inference_130,['The closer an object gets to another...'],"['the smaller the distance between them becomes.', 'The closer an object gets to another object']",,
Inference_512,['speed of motion'],['speed of motion'],['Frame_Self_propelled_motion'],
Inference_408,"[""Childcare provider's duties are...""]","[""Childcare provider's duties are to ensure the health"", 'safety', 'and well-being of the children.']",['Frame_Child_care'],
Inference_405,['the ability of the government to...'],['the ability of the government to fulfill its responsibilites depends on its functional status'],['Frame_Government_institution'],
Inference_665,['amount of taxes is related to degree...'],['amount of taxes is related to degree to which taxpayer is affected'],['Frame_Taxation'],
Inference_466,['Having a small size'],['Having a small size'],['Frame_Size'],
Inference_479,"[""Knower's ability to know""]","[""Knower's ability to know""]",['Frame_Knowing'],
Inference_451,['Substantial ideas'],['Substantial ideas'],['Frame_Idea'],
Inference_291,['state change can be caused by an...'],['state change can be caused by an external entity'],['Frame_Change_of_state'],
Inference_551,['Fixing the problems of a natio...'],['Fixing the problems of a nation.'],['Frame_Nation'],
Inference_210,"[""'closeness' to performing an a...""]","[""'closeness' to performing an action""]",['Frame_Action'],
Inference_667,['taxation is involuntary payment...'],['taxation is involuntary payment to government'],['Frame_Taxation'],
Inference_419,['government has some degree of control...'],['government has some degree of control over the actions of the governed'],['Frame_Government'],
Inference_515,['there are different means one can...'],['there are different means one can use to achieve a purpose'],['Frame_Purposeful_action'],
Inference_535,['being moral'],['being moral'],['Frame_Morality'],
Inference_9,"[""presence of the 'cause' results...""]","[""presence of the 'cause' results in some effect to the mover's motion that is different than if the 'cause' was not present""]",,
Inference_590,['amount of effort it takes to change...'],['amount of effort it takes to change location'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_450,['Meat'],['Meat'],['Frame_Food'],
Inference_578,['Impediments to motion along a ...'],['Impediments to motion along a path'],['Frame_Motion_along_a_path'],
Inference_474,['Aid to seeing'],['Aid to seeing'],['Frame_Seeing'],
Inference_111,['Parents are responsible for taking...'],"['Parents are responsible for taking care of children (feeding', 'etc.)', 'housing', 'protecting from harm']",,
Inference_181,['When the obstructing object is...'],"['When the obstructing object is present', 'the seer cannot see the focal_object.']",,
Inference_531,['wasting money'],['wasting money'],['Frame_Money'],
Inference_555,['Taking apart a nation'],['Taking apart a nation'],['Frame_Nation'],
Inference_14,"[""The located_thing is 'in' a bounded...""]","[""The located_thing is 'in' a bounded entity when it is co-located with the interior of that entity""]",,['image schema']
