name,label,hasInferentialContent,isInferenceOfFrame,hasInferenceType
Inference_417,['populace has desired (future) ...'],['populace has desired (future) states'],['Frame_Governing_action'],
Inference_432,['Being physically not upright or...'],['Being physically not upright or horizontal'],['Frame_Verticality'],
Inference_4,"['If barrier is present, accessor...']","['accessor cannot access the accessed_entity.', 'If barrier is present']",,
Inference_144,['Searching may involve all senses...'],['Searching may involve all senses and involves the intentional desire to come in close enough contact with something in order to be able to perceive (and possibly acquire) it.'],,
Inference_484,['Seeing from a short distance'],['Seeing from a short distance'],['Frame_Seeing'],
Inference_166,['Truster does not protect self against...'],['Truster does not protect self against Trusted.'],,
Inference_138,"['Once A repays B, A and B are e...']","['Once A repays B', 'A and B are even.']",,['normative-Western society']
Inference_83,['The leader and the follower move...'],['The leader and the follower move along the same path.'],,
Inference_369,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Experiencing_a_state'],
Inference_353,['difficulties can increase time...'],['difficulties can increase time and effort needed to accomplish objectives'],['Frame_Difficulties_in_action'],
Inference_298,['losing a possession'],['losing a possession'],['Frame_Possession_change'],
Inference_279,"['at final stage, experiencer experiences...']","['at final stage', 'experiencer experiences state']",['Frame_Change_of_state'],
Inference_494,['being poised to see'],['being poised to see'],['Frame_Seeing'],
Inference_76,['the force impinges on the entity...'],['the force impinges on the entity that moves'],,
Inference_104,['The presence of an impediment may...'],['The presence of an impediment may prevent mover from reaching goal.'],,
Inference_194,['the ease with which the Knower...'],['the ease with which the Knower can access knowledge affects how easily he can learn something'],['Frame_Knowing'],
Inference_236,['Choosing a particular path of several...'],['Choosing a particular path of several available paths'],['Frame_Source_path_goal'],
Inference_39,['Structural integrity of the complex...'],['Structural integrity of the complex object relies on the integrity of its parts as well as the integrity of the connections between the parts.'],,
Inference_352,['barriers on path can increase time...'],['barriers on path can increase time and effort needed to reach goal'],['Frame_Motion_impediments'],
Inference_47,['The range of situations that a...'],"['The range of situations that a controlling_entity can control', ""and the degree of control that he has over these situations is dependent at least in part on how much 'strength' that person has (especially in relation to the strength of the dependent_entity)""]",,['force-dynamic']
Inference_499,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Law'],
Inference_403,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Government_institution'],
Inference_457,['Coming up with complex ideas'],['Coming up with complex ideas'],['Frame_Idea'],
Inference_362,['Experiencing below average body...'],['Experiencing below average body temperature'],['Frame_Temperature'],
Inference_409,"[""Government's responsibility is...""]","['safety and well-being of the citizens', ""Government's responsibility is to ensure the health""]",['Frame_Government'],
Inference_196,['change in ability to know'],['change in ability to know'],['Frame_Knowing'],
Inference_260,['possess does not have possessi...'],['possess does not have possession'],['Frame_Possession'],
Inference_308,['Ability to accept objects'],['Ability to accept objects'],['Frame_Transfer_scenario'],
Inference_690,['caused change in structural_in...'],['caused change in structural_integrity'],['Frame_Building'],
Inference_460,['Structure of an object'],['Structure of an object'],['Frame_Object'],
Inference_226,['impediments to action/freedom to...'],['impediments to action/freedom to act'],['Frame_Action'],
Inference_462,['Taking apart objects'],['Taking apart objects'],['Frame_Object'],
Inference_521,['mental processes'],['mental processes'],['Frame_Cognizing'],
Inference_77,"['At initial stage, recipient does...']","['recipient possesses object', 'e.g. intiates a hold on object. \nAt final stage', 'At initial stage', 'recipient does not possess object. \nDuring ongoing stage', 'recipient acts so as to gain possession']",,
Inference_672,['Attacking foundation of a buil...'],['Attacking foundation of a building'],['Frame_Building'],
Inference_326,['an entity located in the distal_region...'],['an entity located in the distal_region is distal from the center (and therefore not likely to be accessible from the center)'],['Frame_Bounded_region'],
Inference_519,['products of the mind'],['products of the mind'],['Frame_Cognizing'],
Inference_358,['Experiencing intense body heat'],['Experiencing intense body heat'],['Frame_Temperature'],
Inference_404,['the ability of the machine to function...'],"['broken', 'well-oiled', 'the ability of the machine to function depends on the state of its physical structure (physical status)', 'e.g rusty']",['Frame_Machine'],
Inference_526,['state of being dry'],['state of being dry'],['Frame_Liquid'],
Inference_612,['A boat on the rocks contains passengers...'],['A boat on the rocks contains passengers who may be injured as a consequence of the boat colliding with rocks'],['Frame_Boat_on_the_rocks'],
Inference_95,['the experiencer has high positive...'],['the experiencer has high positive regard for the loved thing'],,"['affect', 'positive evaluation']"
Inference_391,['freedom to act and achieve obj...'],['freedom to act and achieve objectives'],['Frame_Freedom_of_action'],
Inference_211,['moving towards a landmark'],['moving towards a landmark'],['Frame_Being_at_a_location'],
Inference_6,"['For static situations, the main...']","[""the main axis of the trajector (which is typically a long thin thing) is perpendicular to the landmark's main axis."", 'For static situations']",,
Inference_197,['Different paths to reaching a ...'],['Different paths to reaching a destination'],['Frame_Motion_to_a_location'],
Inference_516,['a healthy/unhealthy body'],['a healthy/unhealthy body'],['Frame_Bodily_functioning'],
Inference_64,['When A and B enter into a financial...'],"['When A and B enter into a financial transaction', 'B is in debt to / owes A.', 'and B does not pay for the received goods or services']",,
Inference_133,['Actor initiates action in order...'],"['at which point actor terminates action.', 'Actor initiates action in order to bring about desired situation.  Actor continues action until desired situation has been accomplished']",,
Inference_584,['reaching a destination'],['reaching a destination'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_633,['Societal actions can help reduce...'],['Societal actions can help reduce or eliminate social problems'],['Frame_Social_problems'],
Inference_281,"['at initial stage, experiencer experiences...']","['at initial stage', 'experiencer experiences state']",['Frame_Change_of_state'],
Inference_607,['Romantic relationship encountering...'],['Romantic relationship encountering difficulties'],['Frame_Romantic_relationship'],
Inference_397,"['""non-functional"" end of functi...']","['""non-functional"" end of functionality_scale']",['Frame_Functionality'],
Inference_627,['the strength of social relatio...'],['the strength of social relations'],['Frame_Social_group'],
Inference_573,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Power'],
Inference_200,['Lack of purpose'],['Lack of purpose'],['Frame_Purposeful_action'],
Inference_501,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Law'],
Inference_563,['Future states of the nation'],['Future states of the nation'],['Frame_Nation'],
Inference_465,['Being important or significant'],['Being important or significant'],['Frame_Importance'],
Inference_543,['increases in quantity'],['increases in quantity'],['Frame_Quantity'],
Inference_322,['nullSourceInference'],['nullSourceInference'],['Frame_Eating'],
Inference_423,['If government sucessfully performs...'],"['people will flourish', 'If government sucessfully performs action']",['Frame_Government'],
Inference_481,['Attempting to gain knowledge'],['Attempting to gain knowledge'],['Frame_Knowing'],
Inference_79,['The size of the gap is related...'],"['The size of the gap is related to how difficult it is to cross it (e.g. the wider and/or deeper the gap', 'the more difficult it is to cross it).']",,
Inference_175,['A vehicle is solid and can last...'],['A vehicle is solid and can last a long time.'],,
Inference_38,['All other competitors who are not...'],['All other competitors who are not the winner are the losers.'],,
Inference_390,['lack of barriers on path makes...'],['lack of barriers on path makes it possible for mover to move along path to goal'],['Frame_Motion_impediments'],
Inference_536,['being crooked'],['being crooked'],['Frame_Straightness'],
Inference_100,['Men are naturally more powerful...'],['Men are naturally more powerful than women.'],,
Inference_389,['freedom to act'],['freedom to act'],['Frame_Freedom_of_action'],
Inference_443,['Helpful ideas'],['Helpful ideas'],['Frame_Idea'],
Inference_654,['future locations along a path'],['future locations along a path'],['Frame_Bounded_region'],
Inference_347,['Controlling crime'],['Controlling crime'],['Frame_Crime'],
Inference_337,"[""end of controller's control""]","[""end of controller's control""]",['Frame_Control'],
Inference_463,['Analyzing ideas'],['Analyzing ideas'],['Frame_Idea'],
Inference_48,"[""Creator's objective is to bring...""]","[""Creator's objective is to bring the created_object into existence.  When action starts"", 'object exists.', 'when action is successfully completed', 'object does not exist']",,
Inference_429,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Greed'],
Inference_445,['Disturbing ideas'],['Disturbing ideas'],['Frame_Idea'],
Inference_588,['forward motion toward goal'],['forward motion toward goal'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_7,['A society consists of immoral_citizens...'],['A society consists of immoral_citizens as well as honest_citizens.'],,
Inference_351,['difficulties can prevent completion...'],['difficulties can prevent completion of purposeful action'],['Frame_Difficulties_in_action'],
Inference_320,['Being physically not upright or...'],['Being physically not upright or horizontal'],['Frame_Verticality'],
Inference_600,['Higher point(s) along a vertical...'],['Higher point(s) along a vertical scale'],['Frame_Verticality'],
Inference_234,['attempts to address social problems...'],"['or get worse.', 'attempts to address social problems can have different outcomes: the problem may be eliminated', 'stay the same']",['Frame_Addressing_social_problems'],
Inference_418,['parents have some degree of control...'],"[""parents have some degree of control over children's actions""]",['Frame_Nuclear_family'],
Inference_689,['decrease in relationship inten...'],['decrease in relationship intensity'],['Frame_Trust_relationship'],
Inference_310,"['Initially, transfer_recipient does...']","['transfer_recipient does not possess transferred_object', 'Initially']",['Frame_Transfer_scenario'],
Inference_287,['no longer experiencing a state'],['no longer experiencing a state'],['Frame_Change_of_state'],
Inference_530,['allowing liquid to drain or le...'],['allowing liquid to drain or leak'],['Frame_Liquid'],
Inference_131,['The further an object gets from...'],"['The further an object gets from another object', 'the greater the distance between them becomes.']",,
Inference_327,['The actions of an entity that is...'],"[""The actions of an entity that is not within a controlling_entity's scope_of_control are not controlled by that controlling_entity""]",['Frame_Control'],
Inference_25,"[""Presence of 'burden relation' has...""]","[""Presence of 'burden relation' has a negative effect on the burdened entity's well-being and/or ability to move.""]",,
Inference_297,['change into state'],['change into state'],['Frame_Change_of_state'],
Inference_594,['another person can lead mover along...'],['another person can lead mover along path'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_602,['Lower point(s) along a vertical...'],['Lower point(s) along a vertical scale'],['Frame_Verticality'],
Inference_18,['A boat without a captain to steer...'],['A boat without a captain to steer it strays off course and moves aimlessly.'],,
Inference_270,['motion would not have occurred...'],['motion would not have occurred without the application of a force'],['Frame_Forced_motion'],
Inference_85,['The follower chooses to follow...'],"[""The follower chooses to follow the leader (i.e. the follower's motion is self-controlled"", ""not controlled by the leader). This choice is often based on the follower's assumption that the leader and the follower both are trying to reach the same goal location.""]",,
Inference_693,['Inability to understand'],['Inability to understand'],['Frame_Understanding'],
Inference_454,['Creating an object'],['Creating an object'],['Frame_Object'],
Inference_21,"['To be functional, a building needs...']","[""a building needs to be 'upright'"", 'To be functional']",,
Inference_686,['increase in structural_integri...'],['increase in structural_integrity'],['Frame_Building'],
Inference_685,['Ideas'],['Ideas'],['Frame_Thinking_about'],
Inference_223,['speed of motion'],['speed of motion'],['Frame_Self_propelled_motion'],
Inference_647,"['without social relations, group...']","['without social relations', ""group will not 'stick together'""]",['Frame_Social_group'],
Inference_364,"[""agent's objective is for mover...""]","[""agent's objective is for mover to reach goal""]",['Frame_Forced_motion'],
Inference_173,['Truster has a way to find out how...'],['Truster has a way to find out how Trusted has used power; Trusted has a way to find out whether Truster continues to be worthy of the benefit given to Truster.'],,
Inference_426,['Sheep are not capable of flourishing...'],['Sheep are not capable of flourishing on their own (without shepherd).'],['Frame_Shepherding'],
Inference_402,['nullSourceInference'],['nullSourceInference'],['Frame_Body'],
Inference_67,"['If fire_intensity is high, it will...']","['it will take less fire_duration for the burning_object to be consumed (burning_object_condition).', 'If fire_intensity is high']",,
Inference_319,['Being conscious (awake)'],['Being conscious (awake)'],['Frame_Consciousness'],
Inference_201,['Aids to reaching a destination'],['Aids to reaching a destination'],['Frame_Motion_to_a_location'],
Inference_400,['change in verticality'],['change in verticality'],['Frame_Verticality'],
Inference_127,"['at x-schema.initial, possessor...']","['possessor acquires object. At x-schema.ongoing', 'possessor possesses object.\nAt x-schema.finish_transtion', 'at x-schema.initial', 'possessor does not possess object.', 'possessor loses possession of object. \nAt x-schema.final', 'possessor does not possess object.  At x-schema.start_transtion']",,
Inference_342,['The process of erosion while imperceptible...'],['The process of erosion while imperceptible on a small time scale can cause large scale destructive effects on an entity over a long period of time.'],['Frame_Erosion'],
Inference_86,['Outcome of harmful process is negative...'],['Outcome of harmful process is negative for the harmed_entity.'],,
Inference_187,['not being able to see somethin...'],['not being able to see something'],['Frame_Seeing'],
Inference_11,['There is an anger_limit beyond...'],"['There is an anger_limit beyond which control of the anger is lost', 'and anger_level becomes apparent through an angry_action which may be directed at other_people.']",,
Inference_31,['Childcare provider has control...'],['Childcare provider has control over what the children can or cannot do.'],,
Inference_164,['normative actions cause an increase...'],['normative actions cause an increase in relationship intensity'],,['causal']
Inference_694,['not being able to speak'],['not being able to speak'],['Frame_Speaking'],
Inference_502,['Failing to steer a boat'],['Failing to steer a boat'],['Frame_Steering_a_boat'],
Inference_406,['Childcare provider has control...'],['Childcare provider has control over what the children can or cannot do'],['Frame_Child_care'],
Inference_464,['Having a large size'],['Having a large size'],['Frame_Size'],
Inference_59,"[""Employer has control over employee's...""]","[""Employer has control over employee's actions.""]",,
Inference_448,['Food preparation'],['Food preparation'],['Frame_Food'],
Inference_572,['nullSourceInference'],['nullSourceInference'],['Frame_Possession'],
Inference_532,['walking along a straight path'],['walking along a straight path'],['Frame_Straightness'],
Inference_272,['the application of force precedes...'],['the application of force precedes or accompanies the movement'],['Frame_Forced_motion'],
Inference_97,['God is naturally more powerful...'],['God is naturally more powerful than people.'],,
Inference_668,"['initially, possessor possesses...']","['possessor possesses object', 'initially']",['Frame_Lose_possession'],
Inference_141,['When restraining entity is attached...'],"['When restraining entity is attached to mover', ""mover's ability to move is negatively affected.""]",,
Inference_69,"['If not contained/confined, fluids...']","['If not contained/confined', 'fluids tend to move.']",,
Inference_491,['Giving knowledge (communicatin...'],['Giving knowledge (communicating)'],['Frame_Knowing'],
Inference_550,['Fixing the structural problems...'],['Fixing the structural problems of a building.'],['Frame_Building'],
Inference_699,['Ill-being (feeling bad physically...'],['Ill-being (feeling bad physically and/or psychologically)'],['Frame_Well_being'],
Inference_374,['being in a bounded region (at ...'],['being in a bounded region (at interior)'],['Frame_Being_at_a_location'],
Inference_495,['being poised to know'],['being poised to know'],['Frame_Knowing'],
Inference_150,"['To reach goal, the actor needs...']","['the actor needs to move towards it', '(generally) in a forward direction', 'To reach goal']",,
Inference_695,['not being able to vote'],['not being able to vote'],['Frame_Voting'],
Inference_312,['gaining possession of objects'],['gaining possession of objects'],['Frame_Transfer_scenario'],
Inference_286,['moving out of a bounded region...'],['moving out of a bounded region (source)'],['Frame_Motion_along_a_path'],
Inference_183,['The fighting occurs in response...'],['The fighting occurs in response to an enemy_attack on a battlefield in which usually some amount of enemy_conquest has occurred.'],,
Inference_675,['Changing topics of conversatio...'],['Changing topics of conversation'],['Frame_Thinking_about'],
Inference_394,"['""up"" end of vertical scale']","['""up"" end of vertical scale']",['Frame_Verticality'],
Inference_357,['Only one candidate can win the...'],['Only one candidate can win the office'],['Frame_Election'],
Inference_634,['inability to treat disease results...'],['inability to treat disease results in continued poor health'],['Frame_Disease'],
Inference_62,['Other members of the category are...'],['Other members of the category are commonly compared to the exemplar instance'],,
Inference_40,['entity1 and entity2 are located...'],['entity1 and entity2 are located such that they touch each other.'],,
Inference_428,['nullSourceInference'],['nullSourceInference'],['Frame_Hunger'],
Inference_55,['In response to an outbreak of a...'],"['In response to an outbreak of a disease', 'doctors determine a treatment_strategy which is applied to patients by medical_professionals using medical_tools_and_medicines.']",,
Inference_16,['Health status is often linked to...'],['Health status is often linked to longevity.  Negative effects to health may shorten life span.'],,
Inference_635,['inability to address social problems...'],['inability to address social problems results in continued poor function'],['Frame_Social_problems'],
Inference_682,['Goal-directed motion'],['Goal-directed motion'],['Frame_Motion'],
Inference_13,"[""If the barrier is on the mover's...""]","[""If the barrier is on the mover's intendend path"", 'it will prevent further motion along that path. This may result in mover ceasing to move', 'or in mover choosing an alternative path.']",,['causal']
Inference_601,['greater quantities'],['greater quantities'],['Frame_Quantity'],
Inference_288,['moving across the boundary of a...'],['moving across the boundary of a bounded region'],['Frame_Motion_along_a_path'],
Inference_485,['Knowing in detail'],['Knowing in detail'],['Frame_Knowing'],
Inference_116,['Destructive actions and/or processes...'],['Destructive actions and/or processes cause a decrease in structural_integrity'],,['cause scalar change']
Inference_554,['Taking apart an object'],['Taking apart an object'],['Frame_Complex_physical_object'],
Inference_50,['Governed trusts Government => Government...'],['Governed trusts Government => Government trusts officials.'],,['Transitive']
Inference_541,['Being immoral'],['Being immoral'],['Frame_Morality'],
Inference_378,['distance to boundary (from ext...'],['distance to boundary (from exterior)'],['Frame_Being_at_a_location'],
Inference_558,['Well-maintained machine works ...'],['Well-maintained machine works efficiently'],['Frame_Machine'],
Inference_81,['The governor carries out governing...'],['The governor carries out governing actions intended to affect the process of change of the affected jurisdiction according to its objectives.'],,
Inference_165,['non-normative actions cause a decrease...'],['non-normative actions cause a decrease in relationship intensity'],,['causal']
Inference_44,"['To move from exterior to interior,...']","['To move from exterior to interior', ""a mover must cross the boundary.  Boundary's physical properties may impede or prevent such motion.  The presence of an (open) portal may facilitate boundary crossing."", 'or interior to exterior']",,
Inference_375,['currently experiencing a state...'],['currently experiencing a state value'],['Frame_Experiencing_a_state'],
Inference_118,['The integrity of the physical structure...'],"['The integrity of the physical structure as a whole is dependent on the stability of the physical relations between the structural parts (e.g.attachement', 'support relations).']",,
Inference_302,['a healthy/unhealthy body'],['a healthy/unhealthy body'],['Frame_Cognizing'],
Inference_477,['Impediments to knowing'],['Impediments to knowing'],['Frame_Knowing'],
Inference_246,"[""A insane_person who's agitation_level...""]","[""A insane_person who's agitation_level is beyond their agitation_limit will exhibit insane_behavior""]",['Frame_Insanity'],
Inference_705,['ability to understand word mea...'],['ability to understand word meaning'],['Frame_Word'],
Inference_593,['actor stops acting when objective...'],['actor stops acting when objective is accomplished'],['Frame_Purposeful_action'],
Inference_32,"[""Childcare provider's duties are...""]","['safety', ""Childcare provider's duties are to ensure the health"", 'and well-being of the children.']",,
Inference_255,"['at end, controlling_entity is in...']","['controlling_entity is in control', 'at end']",['Frame_Control'],
Inference_576,['nullSourceInference'],['nullSourceInference'],['Frame_Possession'],
Inference_407,['Government has control over what...'],['Government has control over what the citizens can or cannot do'],['Frame_Government'],
Inference_147,['The motion and action x-schemas...'],"['The motion and action x-schemas are (generally) aligned.  e.g. motion starts when action starts', 'is ongoing while action is ongoing', 'and stops when action stops.']",,['x-schema stage']
Inference_203,['ingested food'],['ingested food'],['Frame_Eating'],
Inference_248,"[""an insane_person's insane_behavior...""]","[""an insane_person's insane_behavior can cause harm to other_people""]",['Frame_Insanity'],
Inference_233,['nullSourceInference'],['nullSourceInference'],['Frame_War'],
Inference_529,['transferring money'],['transferring money'],['Frame_Money'],
Inference_631,['processes that affect the strength...'],['processes that affect the strength of the social group'],['Frame_Social_group'],
Inference_339,['Having control over someone'],['Having control over someone'],['Frame_Control'],
Inference_542,['increase in size'],['increase in size'],['Frame_Size'],
Inference_92,['Ingestion_process:  At initial...'],"[""ingestibles move into ingestor's body (with motion often"", 'Ingestion_process:  At initial stage', ""the ingestible is within some part of the ingestor's digestive system (e.g. its mouth)"", 'but not always caused by the ingestor). At final stage', ""the ingestibles are outside of the ingestor's body. During ongoing stage""]",,['x-schema']
Inference_107,"[""The direction of the mover's motion...""]","[""The direction of the mover's motion determines which locations the mover will move to (including the Goal location).""]",,
Inference_35,['cleaning action involves removal...'],['cleaning action involves removal of dirt or other impurities'],,
Inference_186,"[""being able to evaluate an evaluee's...""]","[""being able to evaluate an evaluee's action""]",['Frame_Evaluation'],
Inference_383,['experiencer is not experiencing...'],['experiencer is not experiencing a particualr state'],['Frame_Experiencing_a_state'],
Inference_424,['shepherd makes decsions; sheep...'],['shepherd makes decsions; sheep do what shepherd wants them to'],['Frame_Shepherding'],
Inference_300,['a body'],['a body'],['Frame_Cognizing'],
Inference_60,['Employer has responsibility to...'],['Employer has responsibility to compensate employee for performing duties.'],,
Inference_624,['poor physical health leads to loss...'],['poor physical health leads to loss of function'],['Frame_Person'],
Inference_680,['being unable to move from one place...'],['being unable to move from one place to another'],['Frame_Motion'],
Inference_566,['nullSourceInference'],['nullSourceInference'],['Frame_Verticality'],
Inference_301,['the mind'],['the mind'],['Frame_Bodily_functioning'],
Inference_304,['Success of transfer'],['Success of transfer'],['Frame_Transfer_scenario'],
Inference_628,['The strength/integrity of the textile...'],['The strength/integrity of the textile as a whole is dependent on the strength/integrity of the individual fibers.'],['Frame_Textile'],
Inference_114,"['When items are connected, they...']","['they move to the same place.', 'then the attached item will not move.  If both items are moveable objects', 'they share a ""common fate"" with respect to location.  If one item is a fixed object', 'When items are connected', 'and if they move', 'either both move or both are stationary']",,
Inference_393,['change in functionality'],['change in functionality'],['Frame_Functionality'],
Inference_273,['The occurrence of the cause precedes...'],['The occurrence of the cause precedes or accompanies the change of state'],['Frame_Caused_change_of_state'],
Inference_217,['ability to move along a path'],['ability to move along a path'],['Frame_Motion_along_a_path'],
Inference_161,['The parts of the day are temporally...'],"['this frame supports order-based inferences', 'e.g. if it is noon', 'The parts of the day are temporally ordered. Thus', 'then morning has already occurred.']",,
Inference_571,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Power'],
Inference_94,"['At initial stage, donor possesses...']","['donor possesses object.\nAt start transition', 'At initial stage', 'donor loses possession', 'e.g. releases hold on object.\nAt final stage', 'donor does not possess object']",,
Inference_121,['When conditions are poor and light...'],"['When conditions are poor and light and nutrient supplies are cut', 'a plant will wither and die.']",,
Inference_379,['imminence of experience of a particular...'],['imminence of experience of a particular state value'],['Frame_Experiencing_a_state'],
Inference_632,"[""people's actions can alleviate...""]","[""people's actions can alleviate symptoms and cure disease""]",['Frame_Disease'],
Inference_3,['the absorbing entity does not have...'],['the absorbing entity does not have to exert effort in order for the fluid to move into it'],,
Inference_506,['decreases in size'],['decreases in size'],['Frame_Size'],
Inference_678,['being able to move to different...'],['being able to move to different locations'],['Frame_Motion'],
Inference_84,"[""The leader's motion precedes that...""]","[""The leader's motion precedes that of the follower.""]",,
Inference_244,['Increase in heat over time'],['Increase in heat over time'],['Frame_Heat'],
Inference_570,['nullSourceInference'],['nullSourceInference'],['Frame_Possession'],
Inference_365,"[""legislator's objective is for bill...""]","[""legislator's objective is for bill to be enacted""]",['Frame_Legislation_enactment'],
Inference_455,['Coming up with an idea'],['Coming up with an idea'],['Frame_Idea'],
Inference_560,['Driving a vehicle'],['Driving a vehicle'],['Frame_Vehicle'],
Inference_142,['ordering of values -- if B is greater...'],"['then C is greater than A.', 'and C is greater than B', 'ordering of values -- if B is greater than A']",,
Inference_171,"[""ABUSE is the Trusted's use of power...""]","[""ABUSE is the Trusted's use of power to harm the Truster of gain benefits for the Trusted.""]",,
Inference_605,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Abstract_relatedness'],
Inference_37,['The competitor who performs best...'],"['The competitor who performs best on some scale (distance', 'intensity', 'amount', 'quantity acquires or produced', 'duration) is the winner.']",,['cultural']
Inference_283,"['at final stage, experiencer no...']","['experiencer no longer experiences state', 'at final stage']",['Frame_Change_of_state'],
Inference_78,['One precondition is that the object...'],"['One precondition is that the object must be accessible to the recipient', 'e.g. within reach', 'and without intervening barrier.']",,
Inference_225,['presence/absence of conditions...'],['presence/absence of conditions that affect motion'],['Frame_Self_propelled_motion'],
Inference_109,"['At beginning of motion, mover is...']","['mover is not within bounded region; at end of motion mover is within bounded region', 'At beginning of motion']",,['aspectual']
Inference_386,['lack of containment enables mover...'],['lack of containment enables mover to move in many directions'],['Frame_Motion_impediments'],
Inference_191,['lighting conditions affect how...'],['lighting conditions affect how well the See-er can see an ob'],['Frame_Seeing'],
Inference_299,['change out of state'],['change out of state'],['Frame_Change_of_state'],
Inference_446,['Appetizing foods'],['Appetizing foods'],['Frame_Food'],
Inference_303,['a well-functioning/non-functioning...'],['a well-functioning/non-functioning mind'],['Frame_Bodily_functioning'],
